"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"267",12,"Jarquez Hunter",LAR,"RB79","8","3 out of 5 stars","-66"
"268",12,"Noah Fant",SEA,"TE34","8","4 out of 5 stars","+31"
"269",12,"Malik Washington",MIA,"WR94","12","3 out of 5 stars","+24"
"270",12,"Taysom Hill",NO,"TE35","11","3 out of 5 stars","+19"
"271",12,"Roman Wilson",PIT,"WR95","5","4 out of 5 stars","-6"
"272",12,"Sean Tucker",TB,"RB80","9","3 out of 5 stars","+4"
"273",12,"Ty Johnson",BUF,"RB81","7","4 out of 5 stars","+34"
"274",12,"Gabe Davis",FA,"WR96","-","-","+61"
"275",12,"Elijah Moore",BUF,"WR97","7","3 out of 5 stars","+10"
"276",12,"Matt Gay",WAS,"K15","12","3 out of 5 stars","+48"
"277",12,"Tim Patrick",DET,"WR98","8","3 out of 5 stars","-"
"278",12,"Tahj Brooks",CIN,"RB82","10","4 out of 5 stars","-28"
"279",12,"Pat Bryant",DEN,"WR99","12","3 out of 5 stars","-64"
"280",12,"Sincere McCormick",LV,"RB83","8","2 out of 5 stars","-"
"281",12,"Alexander Mattison",MIA,"RB84","12","4 out of 5 stars","-6"
"282",12,"Brashard Smith",KC,"RB85","10","2 out of 5 stars","-75"
"283",12,"Zack Moss",CIN,"RB86","10","4 out of 5 stars","-46"
"284",12,"Xavier Restrepo",TEN,"WR100","10","4 out of 5 stars","-23"
"285",12,"Dyami Brown",JAC,"WR101","8","4 out of 5 stars","-54"
"286",12,"Terrance Ferguson",LAR,"TE36","8","4 out of 5 stars","-7"
"287",12,"Tyler Shough",NO,"QB31","11","5 out of 5 stars","-82"
"288",12,"Isaiah Davis",NYJ,"RB87","9","5 out of 5 stars","+42"
"289",12,"Woody Marks",HOU,"RB88","6","2 out of 5 stars","-48"
"290",12,"Dameon Pierce",HOU,"RB89","6","2 out of 5 stars","-26"
"291",12,"Kimani Vidal",LAC,"RB90","12","2 out of 5 stars","-"
"292",12,"Daniel Jones",IND,"QB32","11","3 out of 5 stars","-93"
"293",12,"Christian Watson",GB,"WR102","5","2 out of 5 stars","-"
"294",12,"Theo Johnson",NYG,"TE37","14","2 out of 5 stars","-64"
"295",12,"Tre Tucker",LV,"WR103","8","4 out of 5 stars","+5"
"296",12,"Jaxson Dart",NYG,"QB33","14","1 out of 5 stars","-84"
"297",12,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-29"
"298",12,"Jalen Nailor",MIN,"WR104","6","2 out of 5 stars","+11"
"299",12,"Jordan James",SF,"RB91","14","3 out of 5 stars","-55"
"300",12,"Parker Washington",JAC,"WR105","8","4 out of 5 stars","-"
"301",13,"Joe Flacco",CLE,"QB34","9","2 out of 5 stars","-75"
"302",13,"Damien Martinez",SEA,"RB92","8","3 out of 5 stars","+24"
"303",13,"Will Dissly",LAC,"TE38","12","3 out of 5 stars","-"
"304",13,"Miami Dolphins",MIA,"DST20","12","2 out of 5 stars","+12"
"305",13,"Daniel Carlson",LV,"K16","8","3 out of 5 stars","+34"
"306",13,"Ty Chandler",MIN,"RB93","6","3 out of 5 stars","-"
"307",13,"Shedeur Sanders",CLE,"QB35","9","2 out of 5 stars","-87"
"308",13,"Jason Myers",SEA,"K17","8","5 out of 5 stars","-"
"309",13,"Luke McCaffrey",WAS,"WR106","12","3 out of 5 stars","-"
"310",13,"Oronde Gadsden II",LAC,"TE39","12","3 out of 5 stars","-71"
"311",13,"Tyler Higbee",LAR,"TE40","8","4 out of 5 stars","-71"
"312",13,"Tez Johnson",TB,"WR107","9","3 out of 5 stars","-"
"313",13,"Tory Horton",SEA,"WR108","8","3 out of 5 stars","-43"
"314",13,"Ben Sinnott",WAS,"TE41","12","3 out of 5 stars","+26"
"315",13,"Chris Brooks",GB,"RB94","5","4 out of 5 stars","-"
"316",13,"Justin Tucker",FA,"K18","-","-","-"
"317",13,"Chris Rodriguez Jr.",WAS,"RB95","12","2 out of 5 stars","-"
"318",13,"Emanuel Wilson",GB,"RB96","5","4 out of 5 stars","+14"
"319",13,"Raheim Sanders",LAC,"RB97","12","2 out of 5 stars","-"
"320",13,"Gus Edwards",FA,"RB98","-","-","-"
"321",13,"Jermaine Burton",CIN,"WR109","10","3 out of 5 stars","+10"
"322",13,"John Metchie III",HOU,"WR110","6","4 out of 5 stars","-"
"323",13,"Tyler Conklin",LAC,"TE42","12","3 out of 5 stars","-85"
"324",13,"Isaiah Bond",FA,"WR111","-","-","-"
"325",13,"Isaac TeSlaa",DET,"WR112","8","3 out of 5 stars","-19"
"326",13,"Tai Felton",MIN,"WR113","6","2 out of 5 stars","-30"
"327",13,"Demarcus Robinson",SF,"WR114","14","4 out of 5 stars","-"
"328",13,"Jordan Whittington",LAR,"WR115","8","3 out of 5 stars","+8"
"329",13,"Donovan Edwards",NYJ,"RB99","9","5 out of 5 stars","-"
"330",13,"Tutu Atwell",LAR,"WR116","8","3 out of 5 stars","-67"
"331",13,"Phil Mafah",DAL,"RB100","10","2 out of 5 stars","-20"
"332",13,"Jalen Milroe",SEA,"QB36","8","4 out of 5 stars","-108"
"333",13,"Zamir White",LV,"RB101","8","2 out of 5 stars","-"
"334",13,"Ray-Ray McCloud III",ATL,"WR117","5","3 out of 5 stars","-42"
"335",13,"New England Patriots",NE,"DST21","14","4 out of 5 stars","-51"
"336",13,"Cam Akers",NO,"RB102","11","4 out of 5 stars","-2"
"337",13,"Tank Dell",HOU,"WR118","6","4 out of 5 stars","+16"
"338",13,"Troy Franklin",DEN,"WR119","12","3 out of 5 stars","-47"
"339",13,"Arizona Cardinals",ARI,"DST22","8","4 out of 5 stars","-65"
"340",13,"Eddy Pineiro",FA,"K19","-","-","-"
"341",13,"Jacory Croskey-Merritt",WAS,"RB103","12","2 out of 5 stars","-51"
"342",13,"Savion Williams",GB,"WR120","5","2 out of 5 stars","-30"
"343",13,"Dawson Knox",BUF,"TE43","7","3 out of 5 stars","-"
"344",13,"Marquez Valdes-Scantling",SEA,"WR121","8","3 out of 5 stars","-31"
"345",13,"Will Reichard",MIN,"K20","6","0 out of 5 stars","-18"
"346",13,"Tyler Loop",BAL,"K21","7","2 out of 5 stars","-26"
"347",14,"Matt Prater",FA,"K22","-","-","-"
"348",14,"New York Giants",NYG,"DST23","14","1 out of 5 stars","-116"
"349",14,"Samaje Perine",CIN,"RB104","10","4 out of 5 stars","+2"
"350",14,"Kirk Cousins",ATL,"QB37","5","4 out of 5 stars","-122"
"351",14,"Cam Little",JAC,"K23","8","5 out of 5 stars","-"
"352",14,"A.J. Dillon",PHI,"RB105","9","3 out of 5 stars","-86"
"353",14,"KaVontae Turpin",DAL,"WR122","10","2 out of 5 stars","-12"
"354",14,"Michael Mayer",LV,"TE44","8","2 out of 5 stars","-"
"355",14,"Jake Moody",SF,"K24","14","5 out of 5 stars","-57"
"356",14,"Trey Sermon",PIT,"RB106","5","4 out of 5 stars","-"
"357",14,"Dont'e Thornton Jr.",LV,"WR123","8","4 out of 5 stars","-62"
"358",14,"Atlanta Falcons",ATL,"DST24","5","3 out of 5 stars","-56"
"359",14,"Ameer Abdullah",FA,"RB107","-","-","-"
"360",14,"Luke Musgrave",GB,"TE45","5","2 out of 5 stars","-"
"361",14,"Will Levis",TEN,"QB38","10","2 out of 5 stars","-"
"362",14,"Mack Hollins",NE,"WR124","14","3 out of 5 stars","-"
"363",14,"Allen Lazard",NYJ,"WR125","9","4 out of 5 stars","-30"
"364",14,"Mason Rudolph",PIT,"QB39","5","4 out of 5 stars","-"
"365",14,"Noah Brown",WAS,"WR126","12","3 out of 5 stars","-46"
"366",14,"Gunnar Helm",TEN,"TE46","10","3 out of 5 stars","-"
"367",14,"Washington Commanders",WAS,"DST25","12","4 out of 5 stars","-95"
"368",14,"Curtis Samuel",BUF,"WR127","7","3 out of 5 stars","-"
"369",14,"Blake Grupe",NO,"K25","11","5 out of 5 stars","-"
"370",14,"Brandon McManus",GB,"K26","5","3 out of 5 stars","-56"
"371",14,"Nick Folk",FA,"K27","-","-","-"
"372",14,"Cairo Santos",CHI,"K28","5","1 out of 5 stars","-"
"373",14,"Antwane Wells Jr.",NYG,"WR128","14","2 out of 5 stars","-"
"374",14,"Graham Gano",NYG,"K29","14","0 out of 5 stars","-"
"375",14,"Austin Hooper",NE,"TE47","14","3 out of 5 stars","-46"
"376",14,"Jameis Winston",NYG,"QB40","14","1 out of 5 stars","-27"
"377",14,"Josh Reynolds",NYJ,"WR129","9","4 out of 5 stars","-33"
"378",14,"Luke Schoonmaker",DAL,"TE48","10","2 out of 5 stars","-"
"379",14,"Chimere Dike",TEN,"WR130","10","4 out of 5 stars","-"
"380",14,"Theo Wease Jr.",MIA,"WR131","12","3 out of 5 stars","-"
"381",14,"Jaylin Lane",WAS,"WR132","12","3 out of 5 stars","-56"
"382",14,"Ja'Quinden Jackson",JAC,"RB108","8","2 out of 5 stars","-"
